3 4 6.59668, 10 7 4.97112, 20 7 4.22112, 32 2 6.41557, 40 2 4.46513, 54 5 5.87779, 58 6 2.0611, 75 6 3.73251, 96 3 7.91964, 
103 0 5.17576, 105 3 3.22609, 121 9 5.02145, 133 3 6.73523, 139 2 6.6406, 144 6 2.75254, 153 0 6.60998, 162 2 5.53853, 172 0 3.67678, 173 0 6.91203, 
187 9 8.30323, 201 7 10.2422, 208 9 0.963202, 213 3 6.66821, 217 9 5.48246, 227 4 3.06687, 244 1 0.266309, 284 10 2.42861, 300 1 4.64955, 304 7 9.80135, 
321 10 9.54305, 322 1 6.21012, 332 4 1.02169, 341 6 2.80738, 374 5 4.66908, 375 10 2.59689, 388 7 3.61591, 389 7 -0.588012, 405 4 4.28276, 427 4 10.1203, 
430 2 8.58375, 436 7 -0.279449, 448 10 1.39791, 461 2 2.7531, 469 5 7.57361, 471 5 3.90811, 475 4 8.45867, 482 9 6.05725, 497 9 9.41682, 504 8 1.6458, 
510 2 5.29424, 515 7 2.20678, 522 0 2.29251, 537 10 4.12855, 568 2 7.43991, 580 0 2.01203, 586 9 2.49375, 593 10 5.58961, 604 8 6.85234, 607 1 3.13703, 
615 3 1.29524, 621 9 6.43753, 630 2 7.97473, 635 7 -1.11766, 639 6 2.58878, 648 10 7.98344, 673 4 6.23088, 676 1 3.90113, 688 2 9.21359, 695 9 7.12465, 
722 8 0.188496, 725 0 2.56179, 736 8 7.15291, 741 0 12.0232, 743 5 6.8911, 749 4 8.26463, 760 7 9.30246, 766 4 5.12186, 773 8 2.56939, 783 8 1.51706, 
810 7 1.51579, 827 4 4.30374, 838 5 4.82824, 846 6 1.47273, 877 4 7.8878, 880 3 1.40106, 895 6 8.35518, 901 8 7.79604, 908 1 4.4966, 912 2 1.49257, 
919 10 -0.681667, 928 0 9.67683, 931 3 6.38134, 953 6 4.94803, 957 8 8.82669, 960 1 7.7867, 964 8 1.74447, 968 8 7.59168, 971 3 1.10425, 982 10 7.54776, 
983 1 2.78469, 991 4 7.96458, 1013 4 3.61091, 1018 6 11.3911, 1031 9 10.6935, 1049 0 10.5814, 1054 8 7.91617, 1061 3 6.91654, 1063 3 1.79004, 1088 4 8.42366, 
1098 10 5.2789, 1099 6 7.69207, 1102 1 5.07056, 1116 7 -1.91, 1121 0 6.08597, 1140 0 -0.718, 1141 2 12.0299, 1146 3 6.4522, 1152 10 5.4767, 1176 9 7.81482, 
1178 8 8.88904, 1190 1 9.57641, 1193 8 6.6735, 1235 5 8.80292, 1244 4 3.14186, 1246 9 6.87121, 1248 2 2.76363, 1276 6 4.94188, 1290 7 2.59577, 1296 5 6.3584, 
1314 6 11.7227, 1331 0 1.7193, 1340 0 5.86632, 1345 1 2.94775, 1366 2 2.76183, 
