8 6 7.47276, 13 5 2.17122, 24 9 2.37692, 33 10 7.06993, 36 9 4.87634, 63 5 4.63128, 68 10 7.09783, 71 9 8.4517, 73 0 2.73596, 
81 3 5.61326, 86 6 -1.00668, 124 2 0.698921, 138 5 2.21227, 142 7 4.9261, 157 4 4.18331, 161 8 5.03798, 176 2 8.51106, 186 10 8.08821, 192 2 5.85216, 
195 0 6.50013, 220 6 5.64677, 221 0 0.645963, 228 8 6.43108, 236 6 7.50687, 249 8 3.77686, 253 7 4.9774, 270 1 -2.10122, 272 8 8.22642, 327 1 3.41458, 
339 10 2.89856, 356 0 9.52781, 359 5 10.7045, 376 9 4.78467, 393 2 2.83741, 398 7 4.69804, 417 5 5.8213, 435 4 6.96954, 440 6 3.99113, 452 2 3.97573, 
463 1 4.9546, 468 5 6.06158, 478 0 5.18729, 484 1 5.73878, 502 4 5.04537, 506 7 8.47214, 512 3 5.68115, 525 0 4.08612, 546 7 -3.76263, 552 7 -4.65194, 
574 3 2.52522, 588 4 2.38647, 594 1 7.61187, 605 0 9.81918, 613 10 3.8384, 616 10 10.4229, 619 10 7.33323, 625 7 7.3865, 634 3 7.35697, 640 8 5.86706, 
657 2 8.08195, 661 9 3.87397, 672 3 5.97318, 675 1 3.61846, 678 4 4.23835, 701 6 9.15565, 705 2 1.3979, 717 10 2.8125, 738 5 6.04707, 746 7 6.6451, 
759 4 1.79116, 761 5 8.07062, 764 6 0.845936, 785 1 6.56181, 791 1 5.86511, 802 7 3.33166, 813 5 2.08378, 824 7 6.97153, 830 10 2.05011, 832 4 6.07365, 
847 10 -3.50388, 850 6 5.56643, 854 1 5.02845, 862 0 3.48334, 874 7 9.43739, 878 2 6.66245, 889 6 5.33073, 893 5 2.30546, 900 0 6.65072, 907 2 6.55584, 
910 7 9.47774, 920 2 3.69676, 927 7 1.82873, 937 0 6.25324, 952 0 2.5087, 989 9 4.33062, 1000 7 -2.34156, 1024 2 3.21198, 1026 6 2.7026, 1030 0 4.27084, 
1035 1 4.99763, 1038 1 3.7728, 1053 0 3.29667, 1059 10 3.78734, 1065 2 -0.809515, 1085 9 7.47447, 1106 3 4.14999, 1122 3 6.71024, 1131 3 2.16633, 1136 3 2.88701, 
1139 10 1.12455, 1161 5 12.5117, 1172 7 3.48186, 1179 5 2.31629, 1181 2 7.25519, 1186 7 5.37524, 1196 7 1.56336, 1199 7 2.08083, 1205 0 4.84378, 1206 3 4.53747, 
1213 9 10.4369, 1232 7 8.09678, 1240 5 4.58077, 1274 6 2.3714, 1283 9 10.5278, 1289 4 5.27873, 1299 10 4.94996, 1311 6 6.53521, 1321 1 5.91402, 1338 6 2.66993, 
1355 8 4.26831, 1356 2 3.08758, 1362 9 0.224868, 
