6 3 4.40858, 9 7 6.60688, 21 9 5.83383, 29 8 4.8983, 35 10 4.5333, 52 7 1.79934, 57 5 6.05862, 62 7 9.52435, 70 0 8.90556, 
99 0 11.0076, 104 3 5.77702, 112 9 3.27754, 127 5 2.40409, 131 3 4.67627, 147 1 6.26626, 159 6 2.17039, 163 9 3.41765, 175 1 4.69935, 181 8 3.31207, 
202 2 4.25362, 212 7 0.396564, 218 4 4.80019, 219 10 5.88027, 234 7 2.19501, 235 0 7.17193, 237 3 1.39121, 243 9 3.08527, 247 4 8.09481, 257 2 8.29947, 
263 4 6.93464, 282 5 4.58345, 294 9 4.36486, 320 0 4.15973, 324 1 3.38376, 325 7 3.07131, 331 10 3.0433, 338 7 3.38478, 342 9 2.8453, 345 7 2.71789, 
349 2 5.54559, 350 8 4.28996, 362 2 0.362598, 370 8 1.72128, 378 5 6.76108, 382 3 4.18463, 401 0 7.19639, 411 7 7.29967, 422 5 5.36547, 428 5 5.21203, 
442 2 6.50992, 479 2 8.95275, 499 5 4.98663, 507 1 3.40059, 509 9 1.52109, 541 0 3.51404, 548 8 3.65063, 558 10 5.33053, 578 0 5.70342, 587 7 4.43695, 
590 0 4.5368, 606 4 4.24654, 609 10 7.71598, 629 7 8.16435, 647 9 15.583, 655 1 6.29409, 659 2 5.6984, 664 9 2.5766, 668 3 5.86314, 677 7 6.88799, 
679 4 -0.0236577, 681 10 4.55985, 693 4 1.44241, 700 3 0.90949, 710 2 6.04868, 714 6 3.3299, 732 0 -1.38851, 739 0 3.44766, 740 9 1.05465, 752 3 8.79688, 
758 1 7.49344, 768 2 5.84269, 803 10 5.4012, 809 8 5.86263, 814 5 6.16187, 820 0 5.63892, 836 5 8.85952, 840 1 4.45591, 849 6 3.02059, 856 0 9.14194, 
859 9 3.00057, 869 5 3.65245, 873 5 6.05203, 909 7 2.94199, 917 3 2.50359, 923 4 7.51103, 941 2 0.769144, 942 1 5.15512, 951 4 -0.504409, 966 2 3.73946, 
1005 7 1.43641, 1016 6 6.15925, 1052 4 1.68894, 1068 10 4.6001, 1094 10 9.02047, 1128 8 5.5817, 1130 6 3.69999, 1137 9 8.62098, 1142 2 7.30927, 1162 1 7.44328, 
1166 9 11.9393, 1168 7 6.79271, 1174 9 6.35726, 1183 8 7.89783, 1185 1 6.24506, 1202 1 6.94196, 1204 6 3.53489, 1223 5 8.02278, 1229 0 4.63849, 1273 9 6.68539, 
1279 4 0.046472, 1291 0 6.29357, 1293 3 -0.644514, 1307 0 6.91177, 1315 2 4.2437, 1324 8 1.10685, 1326 1 0.392378, 1341 4 7.56354, 1352 6 7.8105, 1353 6 5.6436, 
1357 9 3.70122, 
