2 7 4.55155, 17 2 3.24291, 25 10 5.33755, 31 4 5.31295, 49 8 6.238, 60 6 4.37281, 78 8 6.15007, 89 10 9.54385, 91 5 5.57688, 
108 6 1.73432, 111 6 8.79236, 118 10 4.31785, 123 9 9.36432, 140 8 6.42307, 149 4 7.47894, 155 4 8.396, 178 0 2.55244, 184 4 -0.41107, 188 10 9.51997, 
190 6 8.03318, 196 1 5.56558, 206 5 7.32088, 226 9 9.97443, 240 2 6.08041, 245 5 1.70682, 246 2 5.33639, 265 10 9.20433, 281 6 1.23653, 286 8 6.61004, 
307 7 4.36348, 309 0 4.87719, 313 10 5.01398, 333 8 7.10182, 340 10 4.58991, 346 6 4.73703, 354 3 5.0457, 360 5 9.36962, 377 2 8.59215, 383 7 0.883281, 
409 3 9.69497, 424 8 5.65976, 444 1 6.51396, 456 7 2.11236, 459 7 10.839, 460 7 3.47806, 472 8 4.43272, 477 7 3.42594, 485 6 6.08581, 486 3 6.05148, 
490 5 7.15783, 498 5 2.97604, 513 4 7.77377, 516 4 2.63554, 526 0 8.55972, 533 7 -1.31459, 538 6 3.31344, 550 4 8.65886, 551 2 2.91513, 553 4 1.0572, 
569 5 1.12002, 575 9 6.64412, 591 9 3.75204, 596 4 0.137984, 599 4 5.87072, 602 7 -2.47485, 620 9 5.19223, 632 5 10.7161, 644 0 4.92192, 646 5 2.87375, 
654 1 7.06995, 687 6 6.44822, 696 9 5.197, 709 5 5.94319, 712 4 4.03476, 723 1 4.33288, 737 8 7.72197, 747 2 3.35197, 751 0 8.33364, 754 3 2.61431, 
767 10 1.50028, 779 3 5.64782, 784 5 4.95229, 787 3 3.72869, 790 0 1.91664, 799 4 1.77857, 806 10 6.7767, 826 5 11.831, 848 5 10.2858, 861 9 6.35656, 
870 9 1.81395, 886 2 5.06448, 887 0 8.71293, 897 4 6.29038, 922 1 6.13066, 925 0 3.8663, 940 1 9.82315, 967 3 5.40997, 979 7 -2.42551, 988 10 8.89612, 
993 2 5.61169, 999 0 3.30026, 1010 3 5.96415, 1017 8 2.49074, 1019 0 2.44378, 1037 9 7.82469, 1046 6 10.9592, 1071 0 3.30753, 1081 8 8.20012, 1096 6 2.0701, 
1103 6 8.32763, 1104 1 7.85742, 1127 4 5.8521, 1134 0 1.85827, 1144 4 1.58624, 1148 5 7.98254, 1157 2 9.78514, 1158 1 4.93479, 1165 0 11.1443, 1182 2 8.36787, 
1192 8 8.2284, 1195 4 7.78579, 1203 9 4.04976, 1209 4 -0.0713994, 1211 0 2.80318, 1214 1 5.12102, 1222 5 8.40474, 1231 8 1.85266, 1260 7 5.0793, 1281 2 5.6414, 
1285 7 1.18513, 1295 2 7.47611, 1301 9 1.6756, 1309 5 7.92437, 1363 7 4.0901, 
