38 0 1.52276, 45 4 9.16757, 65 6 4.16953, 70 10 8.05842, 73 2 0.85236, 113 1 6.41023, 138 6 8.61608, 142 10 3.55011, 223 7 1.57723, 
244 0 4.37044, 254 4 11.1059, 257 4 3.11032, 263 5 6.29479, 272 2 2.66206, 297 3 5.47288, 299 6 2.87628, 301 8 5.10991, 303 7 6.79846, 335 5 2.04178, 
343 4 5.82143, 345 7 0.215404, 346 2 11.6048, 357 3 1.97055, 364 6 3.77115, 371 9 8.03278, 373 2 7.9152, 386 2 4.85835, 417 4 10.3464, 423 4 7.01592, 
442 0 3.63058, 449 6 9.57488, 460 0 7.18412, 467 4 2.3314, 481 1 11.2409, 500 3 6.14887, 508 8 8.66942, 523 7 3.75151, 536 9 5.49917, 546 9 4.99763, 
566 4 7.76627, 586 4 8.40114, 590 6 6.69626, 596 4 4.01271, 598 5 10.4984, 599 8 6.55723, 601 2 4.04267, 604 0 5.50135, 635 6 4.48536, 644 2 4.28582, 
648 4 5.72342, 682 9 7.62856, 720 8 2.46881, 723 6 2.6952, 725 0 5.78989, 737 3 6.83489, 741 0 7.39057, 746 4 -0.927536, 750 5 5.43534, 752 0 2.98557, 
774 7 9.03549, 793 7 10.1742, 805 7 4.8499, 830 6 0.216503, 831 10 3.70784, 857 7 8.27709, 871 4 1.93929, 880 6 0.715405, 894 2 4.91583, 909 1 2.39681, 
939 5 -0.730905, 946 5 0.531612, 950 5 6.13367, 952 6 4.98354, 955 2 8.816, 957 1 5.03017, 959 7 2.24577, 961 6 -1.04798, 966 4 5.288, 976 1 10.589, 
979 10 4.26639, 982 3 9.81987, 984 1 6.41268, 1003 3 6.82416, 1043 9 6.34457, 1048 9 5.91171, 1056 9 7.13347, 1068 3 0.857635, 1089 5 2.99893, 1090 1 8.83237, 
1116 10 5.63275, 1122 10 6.89256, 1126 7 7.85141, 1132 0 9.33346, 1142 8 2.66417, 1150 7 7.10901, 1172 6 5.40765, 1176 4 7.42383, 1204 6 5.99312, 1219 5 3.82256, 
1221 2 8.17871, 1249 8 4.60314, 1251 10 4.61898, 1263 1 10.4421, 1265 8 0.346119, 1270 8 4.09343, 1274 0 -1.79548, 1282 5 1.99767, 1290 1 8.82098, 1295 8 2.26107, 
1303 6 8.32839, 1307 7 10.6248, 1332 9 6.03235, 1348 10 6.32697, 1354 2 5.27002, 1367 1 1.65741, 1380 9 9.0218, 1394 0 5.13388, 1424 5 5.60712, 1434 0 7.25496, 
1438 10 5.68, 1446 3 0.531898, 1452 0 8.054, 1462 4 3.84389, 1481 2 9.2251, 1482 8 4.61222, 1492 0 6.10848, 1499 7 7.25568, 1525 6 1.53378, 1531 10 -0.0785481, 
1548 2 -3.14524, 1554 6 4.09415, 1557 0 7.73877, 1558 9 7.12723, 1561 6 5.64626, 1568 7 3.01577, 1584 4 7.52901, 1597 0 4.20989, 1618 2 7.15832, 1627 9 4.25052, 
1634 9 3.88865, 1641 9 9.03185, 1670 5 6.06208, 1693 9 10.6173, 1695 5 1.01454, 1699 9 6.18887, 1735 2 9.15673, 1737 4 3.94797, 1739 2 9.04925, 1741 10 9.38075, 
1744 8 12.3651, 1747 7 2.2479, 1766 0 5.26195, 1789 6 0.0767678, 1802 8 11.8031, 1817 10 6.9884, 1830 7 1.83171, 1854 0 5.34398, 1860 10 8.57138, 1867 8 0.295579, 
1895 3 6.02326, 1918 3 2.31593, 1929 1 2.71561, 1944 0 5.85943, 1947 9 1.85144, 1954 5 5.34564, 1956 5 -0.101981, 1962 1 3.45938, 1975 3 9.63863, 1995 6 7.48896, 
1998 7 2.04115, 2001 7 5.50563, 2038 9 4.1233, 2043 2 0.46916, 2048 1 11.4167, 2062 4 6.2813, 2091 4 7.76401, 2109 8 5.58408, 2112 10 8.49289, 2149 5 6.76773, 
2159 0 2.40932, 2162 3 8.50426, 2172 3 2.4816, 2185 1 13.0442, 2214 10 7.48664, 2263 3 2.85121, 2267 3 5.2851, 2278 2 2.40006, 2286 5 6.89818, 2303 4 4.88931, 
2309 0 6.36105, 2315 4 8.66068, 2322 1 3.33373, 2326 4 2.83964, 2328 5 4.7501, 2332 9 5.72802, 2347 8 0.617728, 2369 1 1.2504, 2374 10 7.20027, 2378 9 7.82305, 
2383 4 4.37524, 2386 10 7.49663, 2411 9 7.18602, 2417 0 1.56459, 2437 8 2.86237, 2446 7 6.45273, 2452 1 2.71556, 2466 8 3.21797, 2475 1 7.81239, 2507 10 6.40361, 
2536 3 3.83259, 2548 0 5.65142, 2596 8 4.86131, 2622 4 5.07901, 2626 5 4.0921, 2633 2 2.80006, 2658 4 4.84504, 2715 5 7.95393, 2722 3 9.18773, 2731 0 5.66417, 
2733 4 1.40944, 2736 5 8.14882, 2744 9 5.40559, 2760 7 7.45127, 2773 1 9.14664, 2777 1 7.04205, 2787 10 6.3931, 2796 1 -1.63222, 2804 1 8.49094, 2808 5 3.24249, 
2812 7 3.86888, 2818 3 -1.08332, 2837 1 4.98439, 2855 10 2.24081, 2859 3 6.01983, 2863 1 9.41529, 2864 1 7.29958, 2879 6 9.19338, 2907 8 5.681, 2909 5 8.91621, 
2925 2 3.31412, 2935 0 3.68791, 2939 5 0.943689, 
