37 6 7.33912, 43 5 6.44978, 83 2 12.5169, 85 1 6.38567, 110 8 9.15933, 124 1 5.38229, 130 1 2.82778, 137 2 5.25961, 144 4 6.08206, 
147 10 3.22186, 185 3 8.10151, 188 4 3.47317, 202 3 4.43182, 206 2 -0.806695, 212 9 -1.49593, 233 10 6.92438, 238 9 4.44443, 270 0 7.19594, 274 5 4.60586, 
281 10 5.78316, 291 7 7.82122, 293 10 6.57262, 313 0 1.81664, 321 8 1.20429, 332 2 5.23359, 339 4 6.53429, 378 2 4.63586, 399 0 3.79799, 404 1 4.64676, 
413 7 6.92521, 420 9 4.8981, 424 0 5.48828, 429 5 11.947, 440 3 4.46615, 450 1 0.132117, 454 2 5.51245, 486 6 5.28425, 501 5 8.02846, 509 5 6.76481, 
511 3 8.66657, 516 8 5.63565, 520 5 4.93703, 527 9 1.56525, 532 4 6.3986, 537 4 4.71177, 541 5 -1.62652, 544 5 7.13301, 574 10 8.53776, 583 1 5.94486, 
589 4 5.8884, 639 1 7.57146, 678 9 12.82, 738 3 7.04725, 744 8 8.87255, 748 1 6.94314, 754 5 4.15871, 756 8 2.56805, 765 2 1.25919, 791 7 11.3792, 
813 5 5.88657, 834 3 5.3379, 837 3 4.43988, 839 8 3.41401, 845 3 2.15598, 848 5 1.5737, 850 1 6.51509, 854 6 -1.34781, 860 3 1.39879, 911 3 6.0041, 
915 7 6.22237, 928 0 2.17461, 948 5 8.20061, 951 5 2.85237, 953 6 4.39097, 954 2 -2.06216, 956 9 4.87056, 958 7 1.21504, 965 3 1.95482, 971 5 7.92565, 
1013 8 4.25898, 1035 9 2.09221, 1061 4 3.71625, 1075 8 6.19305, 1081 7 8.12745, 1086 1 13.2633, 1091 3 10.0028, 1119 0 8.35766, 1123 7 6.11143, 1127 1 -4.20722, 
1136 1 10.072, 1143 6 6.55083, 1155 10 4.35923, 1183 0 2.4067, 1192 6 8.22671, 1216 2 6.22092, 1226 10 1.81266, 1247 3 6.46322, 1262 3 1.56532, 1264 8 5.63113, 
1301 9 4.4032, 1310 0 2.58548, 1323 3 0.953218, 1327 4 7.30773, 1389 4 8.21714, 1418 5 9.36351, 1426 7 5.24417, 1447 0 7.39312, 1498 0 4.03365, 1502 4 7.78425, 
1511 3 1.34283, 1514 0 5.96251, 1520 7 3.72891, 1526 5 5.80091, 1544 10 4.82262, 1547 1 5.60349, 1560 6 7.42066, 1578 10 4.52549, 1588 2 4.18852, 1590 4 3.00793, 
1600 5 7.8379, 1631 2 5.00001, 1639 7 3.37793, 1648 10 11.0231, 1653 4 8.84213, 1671 7 10.1583, 1683 6 8.65099, 1689 0 7.02283, 1691 10 6.96262, 1700 6 7.18254, 
1716 9 7.39917, 1728 10 4.61462, 1734 9 4.78182, 1753 8 1.61173, 1762 1 6.20676, 1767 4 4.9983, 1777 10 1.92475, 1780 4 2.069, 1791 8 0.286586, 1818 1 2.75497, 
1822 1 4.83663, 1825 10 7.88145, 1829 8 8.4219, 1845 3 11.0294, 1865 4 2.99429, 1871 4 7.29452, 1887 10 2.2142, 1890 0 4.20732, 1893 0 9.65419, 1919 3 4.75727, 
1950 1 5.75429, 1994 8 4.52826, 2032 1 0.695467, 2061 1 5.7953, 2067 9 6.70623, 2080 9 4.0882, 2088 7 5.06561, 2093 4 5.16382, 2102 4 3.40338, 2125 4 8.84733, 
2146 1 5.37572, 2158 0 2.67212, 2161 5 7.33746, 2166 5 3.03442, 2182 0 4.63851, 2187 8 1.52751, 2198 2 11.0512, 2226 0 5.92188, 2230 5 4.16088, 2261 3 2.5367, 
2275 1 2.06026, 2285 4 8.12874, 2292 6 6.71923, 2304 10 1.0095, 2314 5 1.68239, 2320 8 9.91444, 2325 1 8.80757, 2340 8 3.92556, 2345 0 6.02057, 2359 7 6.2452, 
2362 6 1.48756, 2384 4 8.94922, 2394 4 4.23682, 2397 3 1.54312, 2402 10 7.58225, 2420 8 0.517217, 2425 0 1.57025, 2429 9 6.45933, 2464 5 1.95746, 2501 9 5.28963, 
2509 4 4.70996, 2526 4 6.55879, 2537 7 4.3105, 2573 3 4.91421, 2577 9 5.62607, 2578 0 1.20037, 2588 3 5.55867, 2603 3 7.90181, 2605 4 6.57885, 2641 6 4.07572, 
2646 10 8.59061, 2650 1 4.97481, 2653 8 1.5071, 2656 1 1.95755, 2657 8 8.20446, 2677 5 1.19931, 2679 4 5.48446, 2683 9 4.922, 2685 9 6.64103, 2688 3 1.57059, 
2695 5 1.61121, 2697 5 7.81072, 2706 8 2.66179, 2713 0 5.53983, 2725 7 3.24349, 2763 10 7.10904, 2768 8 1.60948, 2774 6 6.42286, 2776 6 9.63529, 2815 4 12.0574, 
2820 2 3.72128, 2826 6 3.46608, 2829 3 4.18357, 2834 5 3.35378, 2861 8 0.969134, 2871 0 1.74435, 2881 7 2.38628, 2895 3 3.6201, 2906 8 4.16533, 2910 5 5.57574, 
2916 1 3.42287, 2919 8 6.03806, 2921 0 2.65418, 
